partner,name,role,lat,lon,price,address,city,state,zip,phone,email,active
OWL, CAPE CORAL,Technician   ,26.59126657,-81.99746363,$135/hr,3222 SW 11TH AVE, CAPE CORAL,FL,33914,888-695-3872 ext 7526,emobility@larsonco.com,TRUE
OWL, PALMETTO,Technician   ,27.57099951,-82.4944404,$135/hr,6314 HORSE MILL PLACE, PALMETTO,FL,34221,888-695-3872 ext 7527,emobility@larsonco.com,TRUE
OWL, MIAMI,Technician   ,25.75474644,-80.30473772,$135/hr,6745 SW 17TH STREET, MIAMI,FL,33155,888-695-3872 ext 7528,emobility@larsonco.com,TRUE
OWL, ATLANTA,Technician   ,33.74911503,-84.39022983,$135/hr,68 MITCHELL ST SW, ATLANTA,GA,30303-3550,888-695-3872 ext 7529,emobility@larsonco.com,TRUE
OWL, SAVANNAH,Technician   ,32.07933359,-81.09950226,$135/hr,610 W OGLETHORPE AVE, SAVANNAH,GA,31401,888-695-3872 ext 7530,emobility@larsonco.com,TRUE
OWL, NORCROSS,Technician   ,33.90829644,-84.22305997,$135/hr,6556 INTERSTATE 85 COURT, NORCROSS,GA,30093,888-695-3872 ext 7531,emobility@larsonco.com,TRUE
OWL, WAYCROSS,Technician   ,31.21010708,-82.38803025,$135/hr,1980 S GEORGIA PKWY W, WAYCROSS,GA,31503,888-695-3872 ext 7532,emobility@larsonco.com,TRUE
OWL, CHICAGO,Technician   ,41.88402954,-87.63225332,$135/hr,121 N LA SALLE ST, CHICAGO,IL,60602,888-695-3872 ext 7533,emobility@larsonco.com,TRUE
OWL, JOLIET,Technician   ,41.52432313,-88.08390281,$135/hr,150 W JEFFERSON ST, JOLIET,IL,60432-4148,888-695-3872 ext 7534,emobility@larsonco.com,TRUE
OWL, SPRINGFIELD,Technician   ,39.79920257,-89.64732639,$135/hr,600 E MONROE ST, SPRINGFIELD,IL,62701,888-695-3872 ext 7535,emobility@larsonco.com,TRUE
OWL, FT. WAYNE,Technician   ,41.15052065,-85.14467169,$135/hr,7626 DISALLE BOULEVARD, FT. WAYNE,IN,46825,888-695-3872 ext 7536,emobility@larsonco.com,TRUE
OWL, INDIANAPOLIS,Technician   ,39.87659854,-85.9573146,$135/hr,6462 OAKLANDON ROAD, INDIANAPOLIS,IN,46236,888-695-3872 ext 7537,emobility@larsonco.com,TRUE
OWL, BROOKS,Technician   ,38.04180312,-85.71531792,$135/hr,404 CLEAR RUN DRIVE, BROOKS,KY,40109,888-695-3872 ext 7538,emobility@larsonco.com,TRUE
OWL, BATON ROUGE,Technician   ,30.44566792,-91.1870398,$135/hr,233 ST. LOUIS ST, BATON ROUGE,LA,70802,888-695-3872 ext 7539,emobility@larsonco.com,TRUE
OWL, LAFAYETTE,Technician   ,30.22212748,-92.01772882,$135/hr,811 LEE AVE, LAFAYETTE,LA,70501,888-695-3872 ext 7540,emobility@larsonco.com,TRUE
OWL, SHREVEPORT,Technician   ,32.51476883,-93.74602986,$135/hr,525 SPRING ST, SHREVEPORT,LA,71101,888-695-3872 ext 7541,emobility@larsonco.com,TRUE
OWL, AUBURN,Technician   ,42.20287409,-71.81555152,$135/hr,198 WASHINGTON ST, AUBURN,MA,1501,888-695-3872 ext 7542,emobility@larsonco.com,TRUE
OWL, CLARKSTON,Electrician,42.77147514,-83.48946633,$135/hr,10100 DIXIE HIGHWAY, CLARKSTON,MI,48348,888-695-3872 ext 7543,emobility@larsonco.com,TRUE
OWL, GRAND RAPIDS,Electrician,42.84510923,-85.67532606,$135/hr,6568 CLAY AVENUE SW, GRAND RAPIDS,MI,49548,888-695-3872 ext 7544,emobility@larsonco.com,TRUE
OWL, GAYLORD,Electrician,45.00390516,-84.71039542,$135/hr,2100 MILBOCKER RD, GAYLORD,MI,49735,888-695-3872 ext 7545,emobility@larsonco.com,TRUE
OWL, MINNEAPOLIS,Technician   ,44.97738253,-93.26521505,$135/hr,350 S 5TH ST, MINNEAPOLIS,MN,55415-306,888-695-3872 ext 7546,emobility@larsonco.com,TRUE
OWL, KANSAS CITY,Technician   ,39.10045073,-94.57788953,$135/hr,414 E 12TH ST, KANSAS CITY,MO,64106-2702,888-695-3872 ext 7547,emobility@larsonco.com,TRUE
OWL, SAINT LOUIS,Technician   ,38.62699124,-90.19938182,$135/hr,1200 MARKET ST, SAINT LOUIS,MO,63103-2802,888-695-3872 ext 7548,emobility@larsonco.com,TRUE
OWL, JACKSON,Technician   ,32.29820339,-90.18168253,$135/hr,200 S PRESIDENT ST, JACKSON,MS,39201,888-695-3872 ext 7549,emobility@larsonco.com,TRUE
OWL, BILLINGS,Technician   ,45.78382888,-108.5060446,$135/hr,210 N 27TH ST, BILLINGS,MT,59101-1938,888-695-3872 ext 7550,emobility@larsonco.com,TRUE
OWL, GREAT FALLS,Technician   ,47.49216026,-111.2268519,$135/hr,4800 10TH AVE S UNIT 1873, GREAT FALLS,MT,59405,888-695-3872 ext 7551,emobility@larsonco.com,TRUE
OWL, CHARLOTTE,Technician   ,35.22088571,-80.8386006,$135/hr,700 E 4TH ST, CHARLOTTE,NC,28202,888-695-3872 ext 7552,emobility@larsonco.com,TRUE
OWL, FAYETTEVILLE,Technician   ,35.04679678,-78.88803685,$135/hr,408 PINE ST, FAYETTEVILLE,NC,28301,888-695-3872 ext 7553,emobility@larsonco.com,TRUE
OWL, GREENSBORO,Technician   ,36.07353958,-79.79322875,$135/hr,324 W MARKET ST, GREENSBORO,NC,27401,888-695-3872 ext 7554,emobility@larsonco.com,TRUE
OWL, RALEIGH,Technician   ,35.77952584,-78.63868763,$135/hr,2 E MORGAN ST, RALEIGH,NC,27601,888-695-3872 ext 7555,emobility@larsonco.com,TRUE
OWL, WINSTON-SALEM,Technician   ,36.18725484,-80.27747359,$135/hr,5952 UNIVERSITY PKWY, WINSTON-SALEM,NC,27105,888-695-3872 ext 7556,emobility@larsonco.com,TRUE
OWL, MANCHESTER,Technician   ,42.9403914,-71.42807656,$135/hr,440 HARVEY RD, MANCHESTER,NH,3103,888-695-3872 ext 7557,emobility@larsonco.com,TRUE
OWL, EAST RUTHERFORD,Technician   ,40.82773474,-74.08353703,$135/hr,30 MURRAY HILL PKWY, EAST RUTHERFORD,NJ,7073,888-695-3872 ext 7558,emobility@larsonco.com,TRUE
OWL, ALBUQUERQUE,Technician   ,35.08937575,-106.6479877,$135/hr,600 2ND ST NW, ALBUQUERQUE,NM,87102,888-695-3872 ext 7559,emobility@larsonco.com,TRUE
OWL, AUBURN,Technician   ,42.92937001,-76.57201375,$135/hr,1 JAMES ST, AUBURN,NY,13021,888-695-3872 ext 7560,emobility@larsonco.com,TRUE
OWL, HOLLAND,Electrician,41.60881369,-83.7903577,$135/hr,10420 GEISER ROAD, HOLLAND,OH,43528,888-695-3872 ext 7561,emobility@larsonco.com,TRUE
OWL, YOUNGSTOWN,Technician   ,41.03540086,-80.65651265,$135/hr,6235 SOUTHERN BLVD, YOUNGSTOWN,OH,44512,888-695-3872 ext 7562,emobility@larsonco.com,TRUE
OWL, COLUMBUS,Electrician,39.98113329,-82.87994086,$135/hr,4637 POTH ROAD SUITE B, COLUMBUS,OH,43213,888-695-3872 ext 7563,emobility@larsonco.com,TRUE
OWL, OKLAHOMA CITY,Technician   ,35.46903947,-97.52068212,$135/hr,200 N WALKER, OKLAHOMA CITY,OK,73102,888-695-3872 ext 7564,emobility@larsonco.com,TRUE
OWL, FRANKLIN,Electrician,39.55575886,-84.29902615,$135/hr,151 E 6TH ST, FRANKLIN,OH,45005,888-695-3872 ext 7565,emobility@larsonco.com,TRUE
OWL, COLUMBIA,Technician   ,34.00261198,-81.04059799,$135/hr,811 WASHINGTON ST, COLUMBIA,SC,29201,888-695-3872 ext 7566,emobility@larsonco.com,TRUE
OWL, GREENVILLE,Technician   ,34.84849685,-82.40052249,$135/hr,206 S. MAIN ST, GREENVILLE,SC,29601,888-695-3872 ext 7567,emobility@larsonco.com,TRUE
OWL, MYRTLE BEACH,Technician   ,33.6956398,-78.88171402,$135/hr,937 BROADWAY ST, MYRTLE BEACH,SC,29578,888-695-3872 ext 7568,emobility@larsonco.com,TRUE
OWL, CLARKSVILLE,Technician   ,36.52788114,-87.36085416,$135/hr,1 PUBLIC SQ, CLARKSVILLE,TN,37040-3474,888-695-3872 ext 7569,emobility@larsonco.com,TRUE
OWL, KNOXVILLE,Technician   ,35.96051968,-83.91674062,$135/hr,400 MAIN ST, KNOXVILLE,TN,37902,888-695-3872 ext 7570,emobility@larsonco.com,TRUE
OWL, MEMPHIS,Technician   ,35.14912922,-90.05214856,$135/hr,125 N MAIN ST, MEMPHIS,TN,38103,888-695-3872 ext 7571,emobility@larsonco.com,TRUE
OWL, MURFREESBORO,Technician   ,35.84463201,-86.39313532,$135/hr,111 W VINE ST, MURFREESBORO,TN,37130,888-695-3872 ext 7572,emobility@larsonco.com,TRUE
OWL, NASHVILLE,Technician   ,36.16715055,-86.77829113,$135/hr,100 METRO COURTHOUSE, NASHVILLE,TN,37201,888-695-3872 ext 7573,emobility@larsonco.com,TRUE
OWL, DYERSBURG,Technician   ,36.03114885,-89.37228107,$135/hr,1106 E COURT ST, DYERSBURG,TN,38024,888-695-3872 ext 7574,emobility@larsonco.com,TRUE
OWL, AMARILLO,Technician   ,35.2070312,-101.8319577,$135/hr,611 S BUCHANAN ST, AMARILLO,TX,79101,888-695-3872 ext 7575,emobility@larsonco.com,TRUE
OWL, CORPUS CHRISTI,Technician   ,27.79310788,-97.39460328,$135/hr,120 N CHAPARRAL ST, CORPUS CHRISTI,TX,78401-2802,888-695-3872 ext 7576,emobility@larsonco.com,TRUE
OWL, DALLAS,Electrician,32.77804786,-96.80647625,$135/hr,600 COMMERCE ST, DALLAS,TX,75202,888-695-3872 ext 7577,emobility@larsonco.com,TRUE
OWL, EL PASO,Technician   ,31.75845158,-106.4843501,$135/hr,500 E SAN ANTONIO AVE, EL PASO,TX,79901,888-695-3872 ext 7578,emobility@larsonco.com,TRUE
OWL, FORT WORTH,Electrician,32.74973687,-97.33048784,$135/hr,1000 THROCKMORTON ST, FORT WORTH,TX,76102-6312,888-695-3872 ext 7579,emobility@larsonco.com,TRUE
OWL, HOUSTON,Technician   ,29.76037861,-95.36933417,$135/hr,901 BAGBY ST, HOUSTON,TX,77002,888-695-3872 ext 7580,emobility@larsonco.com,TRUE
OWL, LAREDO,Technician   ,27.5076462,-99.50698518,$135/hr,1110 HOUSTON ST, LAREDO,TX,78040-8019,888-695-3872 ext 7581,emobility@larsonco.com,TRUE
OWL, LUBBOCK,Technician   ,33.58528161,-101.8448714,$135/hr,904 BROADWAY, LUBBOCK,TX,79401,888-695-3872 ext 7582,emobility@larsonco.com,TRUE
OWL, MCALLEN,Technician   ,26.21973955,-98.23876275,$135/hr,1601 N BICENTENNIAL BLVD, MCALLEN,TX,78501-4438,888-695-3872 ext 7583,emobility@larsonco.com,TRUE
OWL, SAN ANTONIO,Technician   ,29.42642937,-98.49407522,$135/hr,100 W HOUSTON ST, SAN ANTONIO,TX,78205,888-695-3872 ext 7584,emobility@larsonco.com,TRUE
OWL, FORT WORTH,Technician   ,32.84447498,-97.29866322,$135/hr,5631 STRATUM DRIVE, FORT WORTH,TX,76137,888-695-3872 ext 7585,emobility@larsonco.com,TRUE
OWL, SALT LAKE CITY,Technician   ,40.759724,-111.8890873,$135/hr,450 S STATE ST, SALT LAKE CITY,UT,84111-3101,888-695-3872 ext 7586,emobility@larsonco.com,TRUE
OWL, AUBURN,Technician   ,47.32656419,-122.2246083,$135/hr,2143 E ST NE, AUBURN,WA,98002-1612,888-695-3872 ext 7587,emobility@larsonco.com,TRUE
OWL, GREEN BAY,Technician   ,44.51358568,-88.01291319,$135/hr,100 N JEFFERSON ST, GREEN BAY,WI,54301-5006,888-695-3872 ext 7588,emobility@larsonco.com,TRUE
OWL, MADISON,Technician   ,43.07245943,-89.38242372,$135/hr,210 MARTIN LUTHER KING JR BLVD, MADISON,WI,53703-3340,888-695-3872 ext 7589,emobility@larsonco.com,TRUE
OWL,San Leandro,Technician   ,37.71375,-122.15497,$135/hr,655 Marina Blvd. Unit 5053 ,San Leandro,CA,94577,888-695-3872 ext 7590,emobility@larsonco.com,TRUE
OWL,Gilroy,Technician   ,37.02242,-121.57473,$135/hr,8585 Forest St. Unit A31 ,Gilroy,CA,95020,888-695-3872 ext 7591,emobility@larsonco.com,TRUE
OWL,Winchester,Technician   ,39.21706,-78.19423,$135/hr,202 Indian Hollow rd. Unit B024,Winchester,VA,22603,888-695-3872 ext 7592,emobility@larsonco.com,TRUE
OWL,Baltimore,Technician   ,39.32954,-76.49356,$135/hr,8432 Pulaski HWY Unit 343,Baltimore,MD,21237,888-695-3872 ext 7593,emobility@larsonco.com,TRUE
OWL,Las Vegas,Technician   ,36.22233,-115.08055,$135/hr,3435 N lamb blvd Unit 189,Las Vegas,NV,89115,888-695-3872 ext 7594,emobility@larsonco.com,TRUE
OWL,Austin,Technician   ,30.26736,-97.73521,$135/hr,700 E 7th St,Austin,TX,78701,888-695-3872 ext 7595,emobility@larsonco.com,TRUE
OWL,Pasco,Technician,46.27958,-119.21249,$135/hr,9335 Sandifur Prkwy Unit 1501,Pasco,WA,99301,888-695-3872 ext 7596,emobility@larsonco.com,TRUE
OWL,Spokane,Technician,47.5998,-117.35138,$135/hr,5904 S. Ben Burr Rd Unit F03,Spokane,WA,99223,888-695-3872 ext 7597,emobility@larsonco.com,TRUE
OWL, AUGUSTA,Technician,44.31245892,-69.78557499,$135/hr,47 Western Ave, Augusta,ME,4330,888-695-3872 ext 7598,emobility@larsonco.com,TRUE
